distance,robot_vel,angle,rpm,cost
2.0085,1.9286,84.9198,2253.25,0.098262
2.0085,2.1122,86.5739,2242.21,0.09778
2.0085,2.2959,88.4486,2246.08,0.097717
2.0085,2.4796,89.0,2178.35,0.09787
2.0085,2.6633,87.787,2065.74,0.102933
2.0085,2.8469,88.4486,2034.11,0.11056
2.0932,-4.5,45.0,3600.34,0.114528
2.0932,-4.3163,45.0,3523.3,0.113032
2.0932,-4.1327,45.0,3449.08,0.11117
2.0932,-3.949,45.0,3377.59,0.110188
2.0932,-3.7653,45.3308,3315.43,0.109138
2.0932,-3.5816,45.0,3242.06,0.108132
2.0932,-3.398,45.7719,3190.79,0.107869
2.0932,-3.2143,45.3308,3122.07,0.10738
2.0932,-3.0306,46.213,3072.89,0.107249
2.0932,-2.8469,47.2055,3025.72,0.107233
2.0932,-2.6633,48.198,2979.0,0.107162
2.0932,-2.4796,49.3008,2934.53,0.107197
2.0932,-2.2959,50.2932,2888.66,0.107016
2.0932,-2.1122,51.396,2845.14,0.106935
2.0932,-1.9286,52.609,2804.17,0.106949
2.0932,-1.7449,53.7118,2761.59,0.106749
2.0932,-1.5612,54.9248,2721.67,0.10664
2.0932,-1.3776,56.1378,2682.24,0.106469
2.0932,-1.1939,57.4612,2645.76,0.106382
2.0932,-1.0102,60.218,2645.57,0.106174
2.0932,-0.8265,60.1078,2574.56,0.106019
2.0932,-0.6429,61.4311,2539.74,0.105745
2.0932,-0.4592,62.8647,2508.32,0.10555
2.0932,-0.2755,65.8421,2523.29,0.105279
2.0932,-0.0918,67.2757,2494.81,0.104948
2.0932,0.0918,68.8195,2470.99,0.10472
2.0932,0.2755,70.3634,2447.85,0.104442
2.0932,0.4592,71.9073,2425.37,0.104116
2.0932,0.6429,73.4511,2403.48,0.103744
2.0932,0.8265,75.1053,2387.28,0.1035
2.0932,1.0102,76.6491,2366.7,0.103049
2.0932,1.1939,78.3033,2352.23,0.10274
2.0932,1.3776,79.9574,2338.77,0.102407
2.0932,1.5612,80.3985,2268.84,0.102204
2.0932,1.7449,83.3759,2321.58,0.10189
2.0932,1.9286,83.9273,2252.61,0.101628
2.0932,2.1122,85.6917,2246.94,0.101336
2.0932,2.2959,87.4561,2243.02,0.101052
2.0932,2.4796,88.0075,2179.85,0.101556
2.0932,2.6633,88.3383,2118.56,0.103168
2.0932,2.8469,88.4486,2063.12,0.106692
2.0932,3.0306,88.8897,2028.13,0.114511
2.178,-4.5,45.1103,3636.48,0.117914
2.178,-4.3163,45.0,3555.82,0.115985
2.178,-4.1327,45.0,3481.53,0.114681
2.178,-3.949,45.2206,3414.84,0.113391
2.178,-3.7653,45.0,3340.1,0.112178
2.178,-3.5816,45.0,3273.84,0.111894
2.178,-3.398,45.3308,3214.76,0.110933
2.178,-3.2143,45.0,3149.12,0.110813
2.178,-3.0306,45.7719,3098.47,0.110543
2.178,-2.8469,46.6541,3049.57,0.110394
2.178,-2.6633,47.6466,3002.62,0.110357
2.178,-2.4796,48.6391,2956.12,0.110267
2.178,-2.2959,49.7419,2911.81,0.110279
2.178,-2.1122,50.8446,2868.05,0.110234
2.178,-1.9286,51.9474,2824.8,0.110132
2.178,-1.7449,53.0501,2782.03,0.109973
2.178,-1.5612,54.2632,2741.79,0.109903
2.178,-1.3776,55.4762,2702.11,0.109773
2.178,-1.1939,58.2331,2697.0,0.109543
2.178,-1.0102,59.5564,2662.41,0.109394
2.178,-0.8265,60.8797,2628.29,0.109185
2.178,-0.6429,62.3133,2597.99,0.109065
2.178,-0.4592,63.6366,2564.77,0.108738
2.178,-0.2755,65.0702,2535.52,0.108501
2.178,-0.0918,66.5038,2506.79,0.108208
2.178,0.0918,68.0476,2482.52,0.10801
2.178,0.2755,69.4812,2454.82,0.107612
2.178,0.4592,71.0251,2431.83,0.107314
2.178,0.6429,72.6792,2414.07,0.107127
2.178,0.8265,74.2231,2392.56,0.106743
2.178,1.0102,75.8772,2376.67,0.106483
2.178,1.1939,77.5313,2361.82,0.106193
2.178,1.3776,79.1855,2348.01,0.105878
2.178,1.5612,80.8396,2335.25,0.105542
2.178,1.7449,82.4937,2323.55,0.105189
2.178,1.9286,84.2581,2319.59,0.105024
2.178,2.1122,85.9123,2310.48,0.10466
2.178,2.2959,86.4637,2241.14,0.104447
2.178,2.4796,88.2281,2237.86,0.10416
2.178,2.6633,88.7794,2177.06,0.104876
2.178,2.8469,87.2356,2064.24,0.11097
2.178,3.0306,87.4561,2026.24,0.119117
2.2627,-4.5,45.0,3664.82,0.121019
2.2627,-4.3163,45.0,3587.95,0.119426
2.2627,-4.1327,45.2206,3519.58,0.118076
2.2627,-3.949,45.0,3441.08,0.11651
2.2627,-3.7653,45.0,3371.79,0.115819
2.2627,-3.5816,45.2206,3308.59,0.11467
2.2627,-3.398,45.0,3240.55,0.114195
2.2627,-3.2143,45.6617,3187.78,0.113787
2.2627,-3.0306,45.2206,3122.68,0.113696
2.2627,-2.8469,46.1028,3073.63,0.11358
2.2627,-2.6633,47.0952,3026.39,0.113572
2.2627,-2.4796,48.0877,2979.67,0.113515
2.2627,-2.2959,50.6241,2957.23,0.113506
2.2627,-2.1122,50.183,2889.31,0.113397
2.2627,-1.9286,52.8296,2872.09,0.113329
2.2627,-1.7449,54.0426,2832.63,0.113306
2.2627,-1.5612,55.1454,2791.03,0.113075
2.2627,-1.3776,56.3584,2752.43,0.112936
2.2627,-1.1939,57.5714,2714.24,0.112738
2.2627,-1.0102,58.8947,2679.36,0.112626
2.2627,-0.8265,60.218,2645.01,0.112456
2.2627,-0.6429,61.5414,2611.14,0.112226
2.2627,-0.4592,62.9749,2581.03,0.112082
2.2627,-0.2755,64.2982,2548.08,0.111739
2.2627,-0.0918,65.7318,2519.04,0.111482
2.2627,0.0918,67.2757,2494.29,0.111315
2.2627,0.2755,68.7093,2466.42,0.110953
2.2627,0.4592,70.2531,2443.07,0.110686
2.2627,0.6429,71.797,2420.44,0.110373
2.2627,0.8265,73.4511,2402.99,0.110167
2.2627,1.0102,74.995,2381.89,0.109773
2.2627,1.1939,76.6491,2366.35,0.109498
2.2627,1.3776,78.3033,2351.87,0.109195
2.2627,1.5612,79.9574,2338.47,0.10887
2.2627,1.7449,81.6115,2326.14,0.108525
2.2627,1.9286,83.3759,2321.08,0.10835
2.2627,2.1122,85.0301,2311.33,0.107988
2.2627,2.2959,86.7945,2309.77,0.107828
2.2627,2.4796,88.4486,2302.9,0.107472
2.2627,2.6633,87.6767,2173.96,0.108473
2.2627,2.8469,87.8972,2114.78,0.11058
2.2627,3.0306,87.8972,2061.61,0.114781
2.2627,3.2143,88.1178,2025.12,0.123453
2.3475,-4.5,45.0,3696.64,0.124406
2.3475,-4.3163,45.0,3619.34,0.122889
2.3475,-4.1327,45.0,3544.7,0.121091
2.3475,-3.949,45.0,3472.62,0.120058
2.3475,-3.7653,45.2206,3407.48,0.118873
2.3475,-3.5816,45.0,3335.44,0.117968
2.3475,-3.398,45.6617,3282.19,0.117578
2.3475,-3.2143,45.2206,3211.8,0.116933
2.3475,-3.0306,46.1028,3162.88,0.116847
2.3475,-2.8469,45.5514,3097.92,0.116789
2.3475,-2.6633,46.5439,3050.35,0.116809
2.3475,-2.4796,49.0802,3023.93,0.116772
2.3475,-2.2959,50.0727,2978.41,0.116645
2.3475,-2.1122,51.1754,2935.4,0.116618
2.3475,-1.9286,52.2782,2892.85,0.116536
2.3475,-1.7449,53.381,2850.71,0.116399
2.3475,-1.5612,54.594,2811.42,0.116352
2.3475,-1.3776,55.6967,2770.08,0.116105
2.3475,-1.1939,56.9098,2731.67,0.115945
2.3475,-1.0102,58.2331,2696.45,0.115869
2.3475,-0.8265,59.5564,2661.82,0.115734
2.3475,-0.6429,60.8797,2627.74,0.115543
2.3475,-0.4592,62.203,2594.14,0.115294
2.3475,-0.2755,63.6366,2564.24,0.115128
2.3475,-0.0918,64.9599,2531.6,0.11477
2.3475,0.0918,66.5038,2506.33,0.114632
2.3475,0.2755,67.9373,2478.23,0.114306
2.3475,0.4592,69.4812,2454.47,0.114069
2.3475,0.6429,71.0251,2431.49,0.113785
2.3475,0.8265,72.5689,2409.26,0.113458
2.3475,1.0102,74.2231,2392.15,0.113235
2.3475,1.1939,75.7669,2371.49,0.11283
2.3475,1.3776,77.4211,2356.34,0.112542
2.3475,1.5612,79.0752,2342.28,0.112228
2.3475,1.7449,80.7293,2329.32,0.111894
2.3475,1.9286,82.4937,2323.21,0.111713
2.3475,2.1122,84.1479,2312.81,0.111355
2.3475,2.2959,85.9123,2310.09,0.111179
2.3475,2.4796,87.5664,2302.52,0.110821
2.3475,2.6633,88.1178,2236.8,0.110939
2.3475,2.8469,88.4486,2171.32,0.111849
2.3475,3.0306,88.6692,2113.97,0.114202
2.3475,3.2143,88.5589,2059.33,0.118613
2.3475,3.398,88.6692,2022.13,0.127655
2.4322,-4.5,45.0,3727.79,0.127813
2.4322,-4.3163,45.0,3650.69,0.125903
2.4322,-4.1327,45.0,3576.02,0.124567
2.4322,-3.949,45.2206,3509.13,0.123331
2.4322,-3.7653,45.0,3433.36,0.122057
2.4322,-3.5816,45.0,3366.15,0.121645
2.4322,-3.398,45.2206,3304.51,0.120577
2.4322,-3.2143,45.0,3238.96,0.120424
2.4322,-3.0306,45.6617,3186.79,0.120042
2.4322,-2.8469,46.5439,3138.11,0.119938
2.4322,-2.6633,47.5363,3091.54,0.119942
2.4322,-2.4796,48.5288,3045.42,0.119896
2.4322,-2.2959,49.5213,2999.73,0.119802
2.4322,-2.1122,50.6241,2956.44,0.119805
2.4322,-1.9286,51.6165,2911.55,0.119611
2.4322,-1.7449,52.8296,2871.35,0.119652
2.4322,-1.5612,53.9323,2829.48,0.119496
2.4322,-1.3776,55.1454,2790.37,0.119427
2.4322,-1.1939,56.3584,2751.8,0.119301
2.4322,-1.0102,57.5714,2713.71,0.119121
2.4322,-0.8265,58.7845,2676.06,0.118886
2.4322,-0.6429,60.1078,2641.59,0.118731
2.4322,-0.4592,61.4311,2607.68,0.118521
2.4322,-0.2755,62.8647,2577.32,0.118388
2.4322,-0.0918,65.7318,2591.08,0.118148
2.4322,0.0918,67.1654,2563.96,0.117901
2.4322,0.2755,67.1654,2490.28,0.117668
2.4322,0.4592,70.1429,2515.69,0.117412
2.4322,0.6429,71.6867,2494.82,0.117179
2.4322,0.8265,71.797,2420.13,0.116907
